id,text,audio,speaker_id,split,human_label,expected_issue,human_note
aishell_BAC009S0002W0122,而对楼市成交抑制作用最大的限购,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0122.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0123,也成为地方政府的眼中钉,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0123.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0124,自六月底呼和浩特市率先宣布取消限购后,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0124.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0125,各地政府便纷纷跟进,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0125.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0126,仅一个多月的时间里,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0126.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0127,除了北京上海广州深圳四个一线城市和三亚之外,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0127.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0128,四十六个限购城市当中,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0128.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0129,四十一个已正式取消或变相放松了限购,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0129.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0130,财政金融政策紧随其后而来,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0130.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0131,显示出了极强的威力,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0131.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
aishell_BAC009S0002W0132,放松了与自往需求密切相关的房贷政策,data/external/aishell/wav/train/S0002/train/S0002/BAC009S0002W0132.wav,S0002,train,native,,Imported from AISHELL-style Mandarin read speech.
