unit,type,start,end,title,notes
b,initial,00:00:00.600,00:00:02.200,声母 b 发音示范,双唇闭合后突然打开，气流较弱，注意不要读成 p。
p,initial,00:00:03.600,00:00:04.700,声母 p 发音示范,双唇闭合后送气打开，气流要明显。
m,initial,00:00:05.420,00:00:06.200,声母 m 发音示范,双唇闭合后让气流从鼻腔出来，注意不要把开头读成 b 或 p。
f,initial,00:00:07.500,00:00:08.600,声母 f 发音示范,上齿轻触下唇，气流从唇齿间摩擦送出。
z,initial,00:00:10.600,00:00:12.200,声母 z 发音示范,舌尖抵住上齿背后轻轻放开，不要明显送气。
c,initial,00:00:13.500,00:00:14.700,声母 c 发音示范,舌尖抵住上齿背后送气放开，气流要清楚。
s,initial,00:00:15.500,00:00:16.700,声母 s 发音示范,舌尖靠近上齿背形成窄缝，让气流摩擦通过。
d,initial,00:00:17.500,00:00:18.700,声母 d 发音示范,舌尖抵住上齿龈后放开，起音短而不送气。
t,initial,00:00:20.600,00:00:22.200,声母 t 发音示范,舌尖抵住上齿龈后送气放开，气流要有力度。
n,initial,00:00:22.880,00:00:23.820,声母 n 发音示范,舌尖轻触上齿龈，气流从鼻腔出来，起音要清楚。
l,initial,00:00:25.400,00:00:26.320,声母 l 发音示范,舌尖抵住上齿龈后放开，让气流从舌头两侧通过。
zh,initial,00:00:27.500,00:00:28.700,声母 zh 发音示范,舌尖稍向后卷抵住硬腭前部，放开时不要送气太强。
ch,initial,00:00:45.500,00:00:46.700,声母 ch 发音示范,舌尖后卷并明显送气，保持卷舌位置稳定。
sh,initial,00:00:47.500,00:00:48.700,声母 sh 发音示范,舌尖后卷形成窄缝，让气流摩擦通过。
r,initial,00:00:50.300,00:00:50.860,声母 r 发音示范,舌尖稍向后卷，声带振动，声音要柔和不要读成 l。
j,initial,00:00:30.600,00:00:32.200,声母 j 发音示范,舌面前部贴近硬腭后放开，不要明显送气。
q,initial,00:00:33.500,00:00:34.700,声母 q 发音示范,舌面前部贴近硬腭并送气放开，气流要清楚。
x,initial,00:00:35.500,00:00:36.700,声母 x 发音示范,舌面前部接近硬腭形成窄缝，气流轻轻摩擦。
g,initial,00:00:37.500,00:00:38.700,声母 g 发音示范,舌根抬起抵住软腭后放开，起音短而不送气。
k,initial,00:00:40.600,00:00:42.200,声母 k 发音示范,舌根抬起抵住软腭后送气放开，气流要有力度。
h,initial,00:00:43.500,00:00:44.700,声母 h 发音示范,舌根靠近软腭形成摩擦，声音从喉后部轻轻送出。
a,final,00:00:52.920,00:00:53.740,韵母 a 发音示范,口腔打开，舌位自然放低，声音要饱满。
o,final,00:00:55.300,00:00:56.080,韵母 o 发音示范,双唇收圆，口腔保持圆形空间。
e,final,00:00:57.640,00:00:58.580,韵母 e 发音示范,嘴角自然展开，舌位略靠后，保持稳定的口腔空间。
i,final,00:01:00.360,00:01:01.040,韵母 i 发音示范,嘴角向两侧展开，舌面抬高，声音要集中。
u,final,00:01:02.660,00:01:03.360,韵母 u 发音示范,双唇收圆向前，舌位后缩，声音不要散。
v,final,00:01:05.300,00:01:06.120,韵母 ü 发音示范,保持 i 的舌位同时把嘴唇收圆，避免读成 u。
i_z,final,00:01:07.700,00:01:08.400,韵母 -i(z/c/s) 发音示范,用于 zi、ci、si，舌尖靠近上齿背，声音不要读成普通 i。
i_zh,final,00:01:09.820,00:01:10.620,韵母 -i(zh/ch/sh/r) 发音示范,用于 zhi、chi、shi、ri，保持卷舌位置，声音不要读成普通 i。
er,final,00:01:12.300,00:01:13.160,韵母 er 发音示范,舌尖轻轻卷起，声音自然卷舌，不要用力过猛。
ai,final,00:01:14.740,00:01:15.400,韵母 ai 发音示范,从 a 的开口滑向 i 的收窄，口型变化要连贯。
ia,final,00:01:17.160,00:01:18.060,韵母 ia 发音示范,先做 i 的高舌位，再迅速打开到 a。
ueng,final,00:01:19.720,00:01:20.640,韵母 ueng 发音示范,先圆唇发 u，再过渡到 eng 的后鼻音。
uang,final,00:01:22.160,00:01:23.120,韵母 uang 发音示范,先圆唇发 u，再打开到 ang，结尾后鼻音要收住。
iong,final,00:01:24.500,00:01:25.460,韵母 iong 发音示范,舌面较高并圆唇，最后收到 ong 的后鼻音。
