slot_id,text,speaker_id,split,target_label,target_issue,audio_filename,notes
proto_0001,你好,s001,train,good,,data/audio/proto_0001.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0002,谢谢,s002,train,good,,data/audio/proto_0002.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0003,朋友,s003,train,good,,data/audio/proto_0003.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0004,我很好,s004,train,tone_issue,tone_issue,data/audio/proto_0004.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0005,我要吃饭,s005,train,initial_issue,initial_issue,data/audio/proto_0005.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0006,我要喝水,s006,train,final_issue,final_issue,data/audio/proto_0006.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0007,我想吃饭,s007,train,unclear,unclear,data/audio/proto_0007.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0008,请再说一遍,s008,train,timing_issue,timing_issue,data/audio/proto_0008.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0009,今天很好,s009,val,good,,data/audio/proto_0009.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0010,明天见,s010,test,good,,data/audio/proto_0010.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0011,老师你好,s011,train,good,,data/audio/proto_0011.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0012,我学习中文,s012,train,tone_issue,tone_issue,data/audio/proto_0012.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0013,这个很难,s013,train,initial_issue,initial_issue,data/audio/proto_0013.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0014,请慢一点,s014,train,final_issue,final_issue,data/audio/proto_0014.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0015,我听不懂,s015,train,unclear,unclear,data/audio/proto_0015.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0016,现在几点,s016,train,timing_issue,timing_issue,data/audio/proto_0016.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0017,我要去学校,s017,train,good,,data/audio/proto_0017.wav,Record one clean take for good slots; record the named learner issue for issue slots.
proto_0018,你说得很好,s018,train,good,,data/audio/proto_0018.wav,Record one clean take for good slots; record the named learner issue for issue slots.
